customer_name,order_date,phone_number,region,order_amount,quantity
Customer 1,01/01/2024,(637) 469-2674,North,137.91,7
Customer 2,02-Jan-2024,377.254.1751,South,,1
Customer 3,2024/01/03,4095809263,East,312.56,17
Customer 4,"January 04, 2024",(824) 264-8613,South,218.81,2
Customer 5,01/05/2024,819.894.1367,North,151.06,11
Customer 6,06-Jan-2024,2031731559,South,5400.0,9
Customer 7,2024/01/07,(351) 919-3768,West,260.15,7
Customer 8,"January 08, 2024",741.479.8808,East,265.09,17
Customer 9,01/09/2024,6870772072,East,298.57,17
Customer 10,10-Jan-2024,,North,171.4,2
Customer 11,2024/01/11,106.674.2752,,152.11,6
Customer 12,"January 12, 2024",0242049668,East,344.86,14
Customer 13,01/13/2024,(992) 603-3466,South,163.77,6
Customer 14,14-Jan-2024,362.519.8453,West,176.67,2
Customer 15,2024/01/15,9686008838,South,188.65,1
Customer 16,"January 16, 2024",(265) 784-0297,East,374.8,10
Customer 17,01/17/2024,578.300.9361,East,279.6,5
Customer 18,18-Jan-2024,2040700115,North,307.92,2
Customer 19,2024/01/19,(640) 021-4956,,261.77,16
Customer 20,"January 20, 2024",367.057.4315,West,213.89,2
Customer 21,01/21/2024,5085233292,East,287.88,10
Customer 22,22-Jan-2024,(236) 380-7617,North,156.6,2
Customer 23,2024/01/23,088.169.2698,North,184.28,16
Customer 24,"January 24, 2024",3010446882,South,293.98,16
Customer 25,01/25/2024,(223) 757-0730,West,168.56,19
Customer 26,26-Jan-2024,735.732.8281,South,238.66,7
Customer 27,2024/01/27,1152830304,East,241.39,12
Customer 28,"January 28, 2024",(377) 620-0256,West,218.28,15
Customer 29,01/29/2024,555.257.1400,North,132.93,8
Customer 30,30-Jan-2024,4232004528,East,212.26,6
Customer 31,2024/01/31,(470) 420-3460,North,200.5,10
Customer 32,"February 01, 2024",218.959.2771,,259.69,3
Customer 33,02/02/2024,5619190708,East,256.63,19
Customer 34,03-Feb-2024,(569) 692-1879,North,272.68,17
Customer 35,2024/02/04,683.307.2611,South,209.44,7
Customer 36,,6528959950,South,281.37,4
Customer 37,02/06/2024,(395) 540-7446,West,156.64,14
Customer 38,07-Feb-2024,353.267.3192,West,140.69,15
Customer 39,2024/02/08,0729694946,East,109.87,8
Customer 40,"February 09, 2024",(840) 990-1587,North,220.04,15
